source,source_item_id,item_type,url,local_path,sha256,bytes,downloaded_at,status,error,extra_json
glytoucan,bulk_export,bulk_export,https://ts.glytoucan.org/sparql,data/raw/glytoucan/bulk_export.json,5e488c725aad78d75643946677633c182554ed9a7abf66819f368616de6631c2,163161161,2025-12-26T07:45:24.905592+00:00,ok,,{}
glytoucan,registry_table,metadata,https://ts.glytoucan.org/sparql,data/raw/glytoucan/registry_table.json,c4c4acfea90cb1b9ad87697893f2ac2f104456e529d42b8bb12a1875d7e77909,101903283,2025-12-26T07:45:26.537192+00:00,ok,,{}
